"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.860300875E0,-8.397458494E-2,-4.902679101E-2,2.112473249E-1
2.870233875E0,-1.026559100E-1,3.007634729E-2,2.303098291E-1
2.880165875E0,-4.013927281E-2,6.526549160E-2,2.551499307E-1
2.890098875E0,6.696370989E-2,4.783692211E-2,2.594493926E-1
2.900030875E0,1.691425294E-1,-3.706811368E-2,2.543331981E-1
2.909963875E0,2.129201293E-1,-1.772960424E-1,2.447969168E-1
2.919896875E0,1.975670010E-1,-3.117712736E-1,2.255345434E-1
2.929828875E0,1.279761791E-1,-4.290902913E-1,2.056085467E-1
2.939761875E0,6.003393792E-3,-5.306152701E-1,1.787553579E-1
2.949693875E0,-1.519744247E-1,-6.010667086E-1,1.512399912E-1
2.959626875E0,-3.067584038E-1,-6.077824235E-1,1.398373991E-1
2.969558875E0,-4.105420411E-1,-5.238169432E-1,1.308041662E-1
2.979491875E0,-4.499429762E-1,-3.826632798E-1,1.241619736E-1
2.989424875E0,-4.531011879E-1,-2.002098709E-1,1.094695032E-1
2.999356875E0,-4.337879419E-1,-3.359319642E-2,8.959086984E-2
3.009289875E0,-4.212953448E-1,8.259195834E-2,7.114055008E-2
3.019221875E0,-4.400637150E-1,1.116097569E-1,5.253544077E-2
3.029154875E0,-4.767228365E-1,7.606506348E-2,2.793350443E-2
3.039086875E0,-4.843570590E-1,8.656730875E-3,9.408822283E-3
3.049019875E0,-4.549434483E-1,-1.082271859E-1,-1.503484976E-2
3.058952875E0,-3.923679292E-1,-2.511438727E-1,-3.382931277E-2
3.068884875E0,-2.965700030E-1,-3.807962835E-1,-3.227766603E-2
3.078817875E0,-1.893897504E-1,-4.630578458E-1,-6.075621583E-3
3.088749875E0,-9.451400489E-2,-4.814965129E-1,1.625880972E-2
3.098682875E0,-2.020755038E-2,-4.247493446E-1,2.166981995E-2
3.108615875E0,2.378951944E-2,-3.243518472E-1,1.564683625E-4
3.118547875E0,3.624352813E-2,-2.023151666E-1,-3.124752827E-2
3.128480875E0,4.339799657E-2,-1.019198522E-1,-5.795241892E-2
3.138412875E0,4.314233363E-2,-3.470912203E-2,-7.374417037E-2
3.148345875E0,4.819244146E-2,-6.761370227E-3,-8.326673508E-2
3.158277875E0,5.025506020E-2,-1.328797918E-2,-9.021945298E-2
3.168210875E0,4.636145011E-2,-4.984014109E-2,-8.968350291E-2
3.178143875E0,3.081338480E-2,-1.032133549E-1,-8.782674372E-2
3.188075875E0,1.528984122E-2,-1.498484761E-1,-8.675112575E-2
3.198008875E0,4.288700875E-4,-1.682738215E-1,-9.530413896E-2
3.207940875E0,-1.537139900E-2,-1.540956944E-1,-1.091086343E-1
3.217873875E0,-1.027117856E-2,-1.138289645E-1,-1.254196912E-1
3.227805875E0,1.720724860E-3,-7.479819655E-2,-1.461203545E-1
3.237738875E0,1.111582387E-2,-5.719736218E-2,-1.701881438E-1
3.247671875E0,2.065755427E-3,-5.429723114E-2,-1.871805042E-1
3.257603875E0,-2.477944084E-2,-5.401067436E-2,-2.005788684E-1
3.267536875E0,-7.340238988E-2,-5.358507857E-2,-2.096151710E-1
3.277468875E0,-1.194787994E-1,-4.303549603E-2,-2.185857743E-1
3.287401875E0,-1.482841969E-1,-2.381834760E-2,-2.188585103E-1
3.297333875E0,-1.519748122E-1,9.367034771E-3,-2.119950056E-1
3.307266875E0,-1.301661581E-1,5.157118291E-2,-2.022284567E-1
3.317199875E0,-9.863299876E-2,8.851535618E-2,-1.937737167E-1
3.327131875E0,-8.484964818E-2,1.222038120E-1,-1.893603653E-1
3.337064875E0,-7.515494525E-2,1.582779288E-1,-1.896115094E-1
3.346996875E0,-6.528241187E-2,1.756009758E-1,-1.933152974E-1
3.356929875E0,-5.183371156E-2,1.530882120E-1,-1.959944367E-1
3.366862875E0,-4.855692759E-2,8.299376070E-2,-1.929772049E-1
3.376794875E0,-4.237839207E-2,-1.328670233E-2,-1.792763025E-1
3.386727875E0,-3.943879530E-2,-8.353636414E-2,-1.507493258E-1
3.396659875E0,-2.617865242E-2,-1.048517749E-1,-1.132573336E-1
3.406592875E0,1.869681664E-2,-7.938997447E-2,-5.932319164E-2
3.416524875E0,9.561183304E-2,-2.257462963E-2,5.298144184E-3
3.426457875E0,1.770179570E-1,1.799830049E-2,7.592819631E-2
3.436390875E0,2.322926670E-1,3.856855631E-2,1.445123255E-1
